,year,month,unemployment,inflation,unemployment_lagging,inflation_lagging
0,2002,1,5.7,1.1,5.0,2.6
1,2002,2,5.7,1.1,5.3,2.1
2,2002,3,5.7,1.5,5.5,1.9
3,2002,4,5.9,1.6,5.7,1.6
4,2002,5,5.8,1.2,5.7,1.1
5,2002,6,5.8,1.1,5.7,1.1
6,2002,7,5.8,1.5,5.7,1.5
7,2002,8,5.7,1.8,5.9,1.6
8,2002,9,5.7,1.5,5.8,1.2
9,2002,10,5.7,2.0,5.8,1.1
10,2002,11,5.9,2.2,5.8,1.5
11,2002,12,6.0,2.4,5.7,1.8
12,2003,1,5.8,2.6,5.7,1.5
13,2003,2,5.9,3.0,5.7,2.0
14,2003,3,5.9,3.0,5.9,2.2
15,2003,4,6.0,2.2,6.0,2.4
16,2003,5,6.1,2.1,5.8,2.6
17,2003,6,6.3,2.1,5.9,3.0
18,2003,7,6.2,2.1,5.9,3.0
19,2003,8,6.1,2.2,6.0,2.2
20,2003,9,6.1,2.3,6.1,2.1
21,2003,10,6.0,2.0,6.3,2.1
22,2003,11,5.8,1.8,6.2,2.1
23,2003,12,5.7,1.9,6.1,2.2
24,2004,1,5.7,1.9,6.1,2.3
25,2004,2,5.6,1.7,6.0,2.0
26,2004,3,5.8,1.7,5.8,1.8
27,2004,4,5.6,2.3,5.7,1.9
28,2004,5,5.6,3.1,5.7,1.9
29,2004,6,5.6,3.3,5.6,1.7
30,2004,7,5.5,3.0,5.8,1.7
31,2004,8,5.4,2.7,5.6,2.3
32,2004,9,5.4,2.5,5.6,3.1
33,2004,10,5.5,3.2,5.6,3.3
34,2004,11,5.4,3.5,5.5,3.0
35,2004,12,5.4,3.3,5.4,2.7
36,2005,1,5.3,3.0,5.4,2.5
37,2005,2,5.4,3.0,5.5,3.2
38,2005,3,5.2,3.1,5.4,3.5
39,2005,4,5.2,3.5,5.4,3.3
40,2005,5,5.1,2.8,5.3,3.0
41,2005,6,5.0,2.5,5.4,3.0
42,2005,7,5.0,3.2,5.2,3.1
43,2005,8,4.9,3.6,5.2,3.5
44,2005,9,5.0,4.7,5.1,2.8
45,2005,10,5.0,4.3,5.0,2.5
46,2005,11,5.0,3.5,5.0,3.2
47,2005,12,4.9,3.4,4.9,3.6
48,2006,1,4.7,4.0,5.0,4.7
49,2006,2,4.8,3.6,5.0,4.3
50,2006,3,4.7,3.4,5.0,3.5
51,2006,4,4.7,3.5,4.9,3.4
52,2006,5,4.6,4.2,4.7,4.0
53,2006,6,4.6,4.3,4.8,3.6
54,2006,7,4.7,4.1,4.7,3.4
55,2006,8,4.7,3.8,4.7,3.5
56,2006,9,4.5,2.1,4.6,4.2
57,2006,10,4.4,1.3,4.6,4.3
58,2006,11,4.5,2.0,4.7,4.1
59,2006,12,4.4,2.5,4.7,3.8
60,2007,1,4.6,2.1,4.5,2.1
61,2007,2,4.5,2.4,4.4,1.3
62,2007,3,4.4,2.8,4.5,2.0
63,2007,4,4.5,2.6,4.4,2.5
